fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
data_local,5,0.5986542205810547,1.3950877829999997,61,0.27237415313720703,2.7598748207092285,61,4.434775,0.870148,93.39183591761822,1104.2274925595239,560.3510155057094,6625.364955357143,1000
data_local,6,0.6883175343225316,1.555446841534613,145,0.2741215229034424,2.6643316745758057,145,5.449622,0.862332,95.05191363099472,1112.791476779514,570.3114817859683,6676.748860677083,1200
data_local,7,0.7493220790794918,1.6528681692857143,203,0.2768840789794922,3.825162887573242,203,5.529879,0.862938,94.71880842121108,1113.7922656249998,568.3128505272665,6682.753593749999,1400
data_local,8,0.7917605486321957,1.7427839386733446,313,0.2772865295410156,3.89315128326416,313,5.505412,0.859382,52.05342103575574,1063.5842848557693,312.3205262145344,6381.505709134615,1600
data_local,9,0.8507652831687545,1.8371120216907662,388,0.27704644203186035,3.6964149475097656,388,5.319827,0.865228,33.80387021951105,1010.2393508184524,202.82322131706627,6061.436104910715,1800
data_local,10,0.9007345108985901,1.9306319084999983,509,0.2770986557006836,3.793978214263916,509,5.497235,0.854644,48.08512996924903,1014.4988550646553,288.5107798154942,6086.993130387932,2000
data_local,11,0.9489273683436082,2.0154132132787645,622,0.27810096740722656,4.204418420791626,622,5.75005,0.85865,60.501166311501144,1017.7371961805557,363.00699786900685,6106.423177083334,2200
data_local,12,0.9738422606367186,2.058043763135945,721,0.2745702266693115,3.9824583530426025,721,5.642302,0.864124,67.54815697631682,1026.3291883680556,405.2889418579009,6157.975130208333,2400
data_local,13,1.012306848641353,2.1344069853620997,865,0.2726013660430908,3.825256586074829,859,5.430542,0.872167,19.47393882449991,1013.5149332682291,116.84363294699946,6081.089599609375,2600
data_local,14,1.0513572419150192,2.201715247854075,952,0.27956628799438477,4.167842388153076,947,5.739589,0.874151,38.12899143079897,1007.2962831439394,228.77394858479383,6043.777698863636,2800
data_local,15,1.0965707164421896,2.2839489442590115,1121,0.2771010398864746,4.146790981292725,1105,5.797367,0.86334,52.29832531227384,1015.2866498161766,313.789951873643,6091.7198988970595,3000
dag,1,0.0028159558773040772,0.60086669,0,0.002381563186645508,0.03322124481201172,0,0.712322,0.531239,59.87953946159337,1018.7352213541667,359.2772367695602,6112.411328125,200
dag,2,0.0027042794227600097,0.6026404374999993,0,0.0023648738861083984,0.012253522872924805,0,0.799322,0.506746,61.29545243821619,1022.2878255208334,367.7727146292971,6133.726953125,400
dag,3,0.002767889499664307,0.6126340366666665,0,0.0023653507232666016,0.014935493469238281,0,0.86424,0.490034,65.2179774162655,1008.5020833333333,391.307864497593,6051.0125,600
dag,4,0.002900773286819458,0.6167567487500001,0,0.0023577213287353516,0.05769491195678711,0,0.807882,0.490855,69.9776083368054,1014.6391927083332,419.8656500208324,6087.835156249999,800
dag,5,0.002996072769165039,0.6258744540000002,0,0.002366781234741211,0.019049882888793945,0,0.857253,0.489527,68.62467844238067,1009.6833984374999,411.74807065428405,6058.100390625,1000
dag,6,0.0032667867342631024,0.6439255150000011,18,0.002340555191040039,0.07356476783752441,18,1.845314,0.485645,73.04395581451173,1018.2543205492424,438.2637348870704,6109.525923295454,1200
dag,7,0.0034310351099286762,0.6575642278571426,32,0.002354145050048828,0.021338224411010742,32,1.762192,0.488223,80.52750800820536,1020.0122514204545,483.16504804923215,6120.073508522727,1400
dag,8,0.003438247740268707,0.7024650499999986,116,0.0023620128631591797,0.06649947166442871,116,1.784259,0.479606,79.95031568762234,1023.2841254340277,479.70189412573404,6139.704752604166,1600
dag,9,0.0037411706977420385,0.7461846488888897,191,0.0023565292358398438,0.07439231872558594,191,1.873541,0.484864,82.10751037302764,1024.4091796875,492.64506223816585,6146.455078125,1800
dag,10,0.003787669777870178,0.7607481905000005,249,0.0023458003997802734,0.043821096420288086,249,1.951329,0.483912,88.02219451024352,1028.9032660590276,528.1331670614611,6173.419596354166,2000
dag,11,0.003968676437031139,0.804481216818182,383,0.002351999282836914,0.035761356353759766,383,1.921171,0.481292,30.00282062473279,1025.920422676282,180.01692374839675,6155.5225360576915,2200
dag,12,0.003957927127679189,0.8270137154166667,472,0.0023484230041503906,0.04712176322937012,472,2.047409,0.483822,19.582054994025505,1023.8469551282052,117.49232996415303,6143.081730769231,2400
dag,13,0.00422351415340717,0.8536993811538461,557,0.002334117889404297,0.05354785919189453,557,2.010868,0.479556,25.694175130001664,1030.9308035714287,154.16505078000998,6185.584821428572,2600
dag,14,0.004489169887134007,0.8874783557142855,638,0.002354860305786133,0.050546884536743164,634,2.102401,0.481558,32.232574299260264,1043.2019624255952,193.39544579556159,6259.211774553572,2800
dag,15,0.004473559935887655,0.900906024666668,778,0.002326488494873047,0.05078911781311035,778,2.062345,0.481675,38.27853828012154,1049.5026041666667,229.67122968072923,6297.015625000001,3000
