fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
basic,1,0.04989630937576294,0.3101798349999998,0,0.04541945457458496,0.12827134132385254,0,0.409002,0.262422,4.98512471906039,962.8900824652778,29.910748314362337,5777.340494791667,200
basic,2,0.09633709609508515,0.407859955,0,0.04579663276672363,0.19212055206298828,0,0.515674,0.282691,5.146065515749415,962.4606584821428,30.87639309449649,5774.763950892857,400
basic,3,0.1074890927473704,0.4922599483333339,84,0.045580148696899414,0.2529582977294922,84,1.339409,0.244846,5.2135970326643735,962.5719762731482,31.28158219598624,5775.431857638889,600
basic,4,0.10712442100048065,0.556982678750001,216,0.04536247253417969,0.27239298820495605,216,1.421739,0.250871,7.889999114904431,965.9161458333333,47.33999468942659,5795.496875,800
basic,5,0.11512615489959717,0.6048363619999994,356,0.04545426368713379,0.28257322311401367,356,1.427878,0.242555,35.55894422661305,979.9935546875,213.3536653596783,5879.961328125,1000
basic,6,0.11295303563276926,0.6190932708333331,507,0.04513907432556152,0.2791750431060791,507,1.456046,0.253013,71.33617018853471,1003.2442589962121,428.01702113120825,6019.465553977273,1200
basic,7,0.11763615693364825,0.6512030371428565,658,0.045382022857666016,0.3324248790740967,658,1.527164,0.252025,42.54333971687419,994.902462121212,255.26003830124517,5969.414772727272,1400
basic,8,0.1254590217769146,0.6824554893749992,800,0.04531359672546387,0.4399683475494385,799,1.547908,0.249983,5.399997724748554,985.5455729166666,32.399986348491325,5913.2734375,1600
basic,9,0.13147615366511875,0.7133459438888898,989,0.04541158676147461,0.43097567558288574,952,1.852537,0.253802,5.099104091494813,976.2134874131943,30.594624548968877,5857.280924479166,1800
basic,10,0.12932740652561187,0.7422910375000012,1222,0.04541826248168945,0.4246482849121094,1146,1.748696,0.251925,4.965742777666168,976.0863172743055,29.794456665997004,5856.517903645833,2000
basic,11,0.1402339080247012,0.7806136440909086,1402,0.04526829719543457,0.5782949924468994,1280,1.900414,0.247255,5.04166376192254,975.9534505208334,30.24998257153524,5855.720703125,2200
basic,12,0.14407801995674768,0.7886432829166652,1578,0.04522252082824707,0.6130001544952393,1451,1.966603,0.253984,5.242738700155495,975.6243489583335,31.456432200932966,5853.746093750001,2400
basic,13,0.14118848461371203,0.8338022000000013,1968,0.04537010192871094,0.6398177146911621,1653,2.03884,0.247022,9.85641652955095,979.0157251602565,59.138499177305704,5874.094350961539,2600
basic,14,0.1517659500667027,0.8706684485714286,2198,0.04525113105773926,0.6592936515808105,1813,2.065797,0.246634,27.405679653652772,990.8873232886905,164.43407792191664,5945.323939732143,2800
