fn_type,concurrency,avg_exec_time,avg_entry_total_time,total_offload_count,min_exec_time,max_exec_time,offload_count,max_entry_time,min_entry_time,avg_cpu_usage,avg_mem_usage_MB,total_cpu_usage,total_mem_usage_MB,samples
basic,14,0.26600490723337444,0.7551696464285702,0,0.04580116271972656,0.5793726444244385,0,1.511152,0.137507,91.86286439875938,998.6485460069443,551.1771863925563,5991.891276041666,1400
basic,15,0.286825465520223,0.8058210686666669,0,0.045546531677246094,0.633185863494873,0,1.57577,0.139384,70.40478177906162,1006.3001302083334,422.4286906743697,6037.80078125,1500
data_local,1,0.4257277274131775,0.7257618499999999,0,0.27106332778930664,0.8015601634979248,0,1.180229,0.490705,54.18882004207277,1007.8184678819445,325.13292025243663,6046.910807291667,100
data_local,2,0.45557921767234805,0.7645471499999998,0,0.2706587314605713,1.3527157306671143,0,1.701877,0.486888,17.564813620987888,1001.5777994791669,105.38888172592733,6009.466796875001,200
data_local,3,0.468764001528422,0.7942184933333329,0,0.27228713035583496,1.2754487991333008,0,1.709774,0.503984,24.19215719664574,1019.6633184523811,145.15294317987446,6117.979910714286,300
data_local,4,0.5336302042007446,0.89758556,0,0.2788105010986328,1.3114938735961914,0,1.720723,0.490957,18.25545775208364,1026.455822172619,109.53274651250184,6158.734933035715,400
data_local,5,0.5791098046302795,0.9701297519999998,0,0.2740480899810791,1.1374270915985107,0,1.730895,0.495672,5.162450028390597,1012.9840494791666,30.97470017034358,6077.904296875,500
data_local,6,0.6570617131392161,1.114900128333333,0,0.28154850006103516,1.3142247200012207,0,1.956528,0.505129,4.988881867422799,988.2301793981482,29.93329120453679,5929.381076388889,600
data_local,7,0.7109175283568246,1.2125207885714286,0,0.28022050857543945,1.3520877361297607,0,2.145832,0.511714,4.902240003556366,987.7401041666667,29.413440021338197,5926.440625,700
data_local,8,0.7585438498854638,1.2947956087500005,0,0.27486467361450195,1.4610495567321777,0,2.272456,0.507833,4.953331128268416,987.3216145833334,29.719986769610497,5923.9296875,800
data_local,9,0.8134491520457797,1.391216542222222,0,0.2789618968963623,2.3114728927612305,0,2.845355,0.494556,12.708082081293357,988.2881747159091,76.24849248776015,5929.729048295455,900
data_local,10,0.8994348673820496,1.5491760380000006,0,0.2785782814025879,2.019477128982544,0,2.742985,0.492763,31.66085221611854,991.2205403645834,189.96511329671122,5947.3232421875,1000
data_local,11,0.9515448947386308,1.646228303636363,0,0.28124332427978516,1.9647166728973389,0,2.971671,0.529104,46.44192158609763,999.6516426282051,278.65152951658575,5997.9098557692305,1100
data_local,12,1.0147918017705282,1.7726277116666664,0,0.28218603134155273,2.1436667442321777,0,3.320738,0.513144,61.207500691839066,1000.4483673878207,367.2450041510344,6002.690204326924,1200
data_local,13,1.0714102679032547,1.8726917230769249,0,0.2859475612640381,2.048921823501587,0,3.440401,0.517547,71.74863850231974,1007.991489955357,430.49183101391844,6047.948939732142,1300
data_local,14,1.1793068452252926,2.07658618357143,0,0.27974867820739746,2.218270778656006,0,5.013277,0.487125,81.54585803306911,1006.1177978515625,489.2751481984147,6036.706787109375,1400
data_local,15,1.2205488804181417,2.147304598666669,0,0.283768892288208,2.5973713397979736,0,4.151306,0.512728,89.9965571234693,1005.7941487630209,539.9793427408158,6034.764892578125,1500
dag,1,0.0025933408737182618,0.23188808000000005,0,0.002356290817260742,0.005467414855957031,0,0.349226,0.141253,99.58159039215015,1004.5713975694445,597.4895423529009,6027.428385416667,100
dag,2,0.002735258340835571,0.22205026000000008,0,0.002364635467529297,0.007712364196777344,0,0.405318,0.137206,74.71111111111222,1006.818142361111,448.2666666666733,6040.908854166666,200
dag,3,0.0027507853507995604,0.22697144000000005,0,0.0023565292358398438,0.009551525115966797,0,0.439992,0.135363,23.25925925925794,1000.5002170138888,139.55555555554764,6003.001302083333,300
dag,4,0.003021155595779419,0.23894028499999997,0,0.002351522445678711,0.031801700592041016,0,0.452957,0.141413,20.18518518518532,1007.6616753472223,121.11111111111191,6045.970052083334,400
dag,5,0.0033446078300476073,0.2510639019999999,0,0.002338886260986328,0.01917123794555664,0,0.41701,0.137963,25.640683958193105,1037.8328993055554,153.84410374915862,6226.997395833333,500
dag,6,0.0037203288078308107,0.26094667333333316,0,0.002351522445678711,0.028421401977539062,0,0.454462,0.142277,28.519438591891287,1029.185329861111,171.11663155134772,6175.111979166666,600
dag,7,0.00402533871786935,0.2866993657142858,0,0.0023550987243652344,0.04522371292114258,0,0.522011,0.136943,27.974180534262413,1040.2426215277778,167.84508320557447,6241.455729166667,700
dag,8,0.004461658298969269,0.30562339875000005,0,0.0023529529571533203,0.058467864990234375,0,0.636337,0.138986,33.51092472237006,1049.884548611111,201.06554833422038,6299.307291666666,800
dag,9,0.0051450800895690915,0.3424552155555553,0,0.002378225326538086,0.06588935852050781,0,0.73789,0.137889,34.305763759225194,1053.75439453125,205.83458255535115,6322.5263671875,900
dag,10,0.005807344198226929,0.37712281799999986,0,0.002351522445678711,0.04481816291809082,0,0.732365,0.14184,31.188888888888542,1045.8592122395833,187.13333333333125,6275.1552734375,1000
dag,11,0.0064707983623851426,0.3936082263636364,0,0.0023615360260009766,0.056040048599243164,0,0.839391,0.141443,39.01486219091702,1040.3863932291667,234.08917314550212,6242.318359375,1100
dag,12,0.007177067200342814,0.4318165691666676,0,0.0023615360260009766,0.039524078369140625,0,0.868673,0.132471,35.40569787231258,1038.76220703125,212.4341872338755,6232.5732421875,1200
dag,13,0.008166278692392203,0.474876065384615,0,0.0023691654205322266,0.054221153259277344,0,0.967606,0.141481,37.22197952279673,1049.5963541666667,223.33187713678038,6297.578125,1300
dag,14,0.008974652873183081,0.5193849907076489,0,0.0023577213287353516,0.08699727058410645,0,1.095583,0.138784,48.36214901359799,1056.4979166666665,290.17289408158797,6338.987499999999,1400
dag,15,0.009339793682098389,0.5303457753333333,0,0.002356290817260742,0.0754234790802002,0,1.232752,0.136012,37.46444444444344,1043.0986979166667,224.78666666666064,6258.5921875,1500
